,dist,date,party,name,votes,stab,stcd,justice,tea,trump,LW_new,RW_either,RW_both,Extreme_ new,casesSum,deathsSum,casesMax,deathsMax,totVotes,voteSh,extreme,partyClean,caseSh,clust,log_cases,log_death
35,H_2,2020-08-04,GOP,Noran Ruden,21297,AZ,402,0,0,0,0,0,0,0,18363,515,16809,465,64372,0.3308426024,0,GOP,0.2852637793,AZ2020-08-04,9.818147505,6.246106765
49,H_2,2020-08-04,DEM,Peter Quilter,20118,AZ,402,0,0,0,0,0,0,0,18363,515,16809,465,87760,0.2292388332,0,DEM,0.2092411121,AZ2020-08-04,9.818147505,6.246106765
60,H_8,2020-08-04,DEM,Robert Olsen,20203,AZ,408,0,0,0,0,0,0,0,121789,2153,121789,2153,64720,0.3121600742,0,DEM,1.881783066,AZ2020-08-04,11.71005353,7.675081858
56,H_7,2020-08-04,DEM,Ruben Gallego,0,AZ,407,0,0,0,0,0,0,0,121789,2153,121789,2153,0,1,0,DEM,Inf,AZ2020-08-04,11.71005353,7.675081858
65,H_9,2020-08-04,GOP,Sam Huang,11803,AZ,409,0,0,0,0,0,0,0,121789,2153,121789,2153,49713,0.2374228069,0,GOP,2.449842094,AZ2020-08-04,11.71005353,7.675081858
45,H_6,2020-08-04,DEM,Stephanie Rimmer,4473,AZ,406,0,0,0,0,0,0,0,121789,2153,121789,2153,78058,0.05730354352,0,DEM,1.560237259,AZ2020-08-04,11.71005353,7.675081858
52,H_4,2020-08-04,DEM,Stuart Starky,10380,AZ,404,0,0,0,0,0,0,0,147593,2827,121789,2153,40116,0.2587496261,0,DEM,3.679155449,AZ2020-08-04,11.90222054,7.947325027
47,H_1,2020-08-04,DEM,Tom O'Halleran,38812,AZ,401,0,0,0,0,0,0,0,164665,3470,121789,2153,65898,0.5889708337,0,DEM,2.498786003,AZ2020-08-04,12.01167446,8.152198016
315,H_53,2020-03-03,DEM,Georgette Gomez,39049,CA,653,1,0,0,1,0,0,1,1,0,1,0,137632,0.2837203557,1,DEM,7.27E-06,CA2020-03-03,0.6931471806,0
151,H_17,2020-03-03,DEM,Ro Khanna,106304,CA,617,1,0,0,1,0,0,1,13,0,11,0,118158,0.8996767041,1,DEM,0.0001100221737,CA2020-03-03,2.63905733,0
297,H_50,2020-03-03,GOP,Darrell Issa,46153,CA,650,0,0,1,0,1,0,1,1,0,1,0,110870,0.4162803283,0,GOP,9.02E-06,CA2020-03-03,0.6931471806,0
108,H_8,2020-03-03,GOP,Jay Obernolte,50164,CA,608,0,0,1,0,1,0,1,0,0,0,0,85468,0.5869331212,0,GOP,0,CA2020-03-03,0,0
261,H_43,2020-03-03,GOP,Joe Collins,14053,CA,643,0,0,1,0,1,0,1,1,0,1,0,27873,0.5041796721,0,GOP,3.59E-05,CA2020-03-03,0.6931471806,0
